,0,1,2,3,4,5,6
0,Cow,Sister,Yellow,Dog,Brother,Tin,Tin
1,Germany,Brother,Mile,Platinum,Zinc,Foot,Yellow
2,Zinc,Lion,England,Iron,Green,Black,Foot
3,Blue,Canada,Red,Horse,Russia,England,Germany
4,Canada,Meter,Sister,Russia,Copper,Uncle,Aunt
5,Mile,Germany,Tiger,Aunt,Horse,Red,Sister
6,Mother,Iron,Inch,Green,Centimeter,Mile,Cow
7,Father,France,Tin,Yard,Platinum,Mexico,Tiger
8,Cat,Foot,Mexico,Inch,Tiger,Lion,Lion
9,Uncle,Father,Centimeter,Lion,Meter,Yellow,Mother
10,Orange,Black,Meter,Tin,Cat,Tiger,Blue
11,Sister,Centimeter,Yard,Yellow,Mile,Cow,Iron
12,France,Dog,Foot,Steel,Orange,Steel,Zinc
13,Copper,Steel,Blue,Red,Aunt,Orange,Dog
14,Aunt,Horse,Father,England,Lion,Russia,Inch
