,uniqueid,n_targets,perc_score
0,A122UK9IT8QSRE:3VE8AYVF8NGFHGCOMKVZPC3DGBO8FI,3.0,1.0
1,A122UK9IT8QSRE:3VE8AYVF8NGFHGCOMKVZPC3DGBO8FI,4.0,0.75
2,A122UK9IT8QSRE:3VE8AYVF8NGFHGCOMKVZPC3DGBO8FI,5.0,0.533333333333
3,A16T9L0J1T8XN3:37KGEN7NJ49CEL0ZM4TFNSC77RBPPM,3.0,1.0
4,A16T9L0J1T8XN3:37KGEN7NJ49CEL0ZM4TFNSC77RBPPM,4.0,1.0
5,A16T9L0J1T8XN3:37KGEN7NJ49CEL0ZM4TFNSC77RBPPM,5.0,1.0
6,A1FDP7EMSL9T9F:3MTMREQS4W1VBQRY97PDPRV812DWA7,3.0,0.333333333333
7,A1FDP7EMSL9T9F:3MTMREQS4W1VBQRY97PDPRV812DWA7,4.0,0.25
8,A1FDP7EMSL9T9F:3MTMREQS4W1VBQRY97PDPRV812DWA7,5.0,0.133333333333
9,A1FYTTGF0QACU9:3PEIJLRY6UC773ZRKHHR9Z662NKXWA,3.0,1.0
10,A1FYTTGF0QACU9:3PEIJLRY6UC773ZRKHHR9Z662NKXWA,4.0,0.75
11,A1FYTTGF0QACU9:3PEIJLRY6UC773ZRKHHR9Z662NKXWA,5.0,0.666666666667
12,A1IM6TFN3AAMBY:3B1NLC6UG0F61870JL3STJYF60OGP9,3.0,0.666666666667
13,A1IM6TFN3AAMBY:3B1NLC6UG0F61870JL3STJYF60OGP9,4.0,0.583333333333
14,A1IM6TFN3AAMBY:3B1NLC6UG0F61870JL3STJYF60OGP9,5.0,0.4
15,A1NHQNYNNBNRA3:3WS1NTTKEZVXZR7LRGIKWXXVXDD0FO,3.0,1.0
16,A1NHQNYNNBNRA3:3WS1NTTKEZVXZR7LRGIKWXXVXDD0FO,4.0,1.0
17,A1NHQNYNNBNRA3:3WS1NTTKEZVXZR7LRGIKWXXVXDD0FO,5.0,0.866666666667
18,A1XMFODRPFWKJ7:31Q0U3WYDQYKRNDX5GO8MA3O4HX17L,3.0,1.0
19,A1XMFODRPFWKJ7:31Q0U3WYDQYKRNDX5GO8MA3O4HX17L,4.0,0.916666666667
20,A1XMFODRPFWKJ7:31Q0U3WYDQYKRNDX5GO8MA3O4HX17L,5.0,0.8
21,A1ZK5NE3OFED6F:3XLBSAQ9Z5VHMJY5DRX0E4N0HWBZ79,3.0,1.0
22,A1ZK5NE3OFED6F:3XLBSAQ9Z5VHMJY5DRX0E4N0HWBZ79,4.0,1.0
23,A1ZK5NE3OFED6F:3XLBSAQ9Z5VHMJY5DRX0E4N0HWBZ79,5.0,0.933333333333
24,A1ZSL5ZLN9DLAK:3KB8R4ZV1FQ4XE6Q0GLRYZTQPW9BGJ,3.0,1.0
25,A1ZSL5ZLN9DLAK:3KB8R4ZV1FQ4XE6Q0GLRYZTQPW9BGJ,4.0,0.5
26,A1ZSL5ZLN9DLAK:3KB8R4ZV1FQ4XE6Q0GLRYZTQPW9BGJ,5.0,0.333333333333
27,A21ICFZU9O6Z9L:31HQ4X3T3TTJ0S1TMT421G8YP1GLSZ,3.0,1.0
28,A21ICFZU9O6Z9L:31HQ4X3T3TTJ0S1TMT421G8YP1GLSZ,4.0,0.833333333333
29,A21ICFZU9O6Z9L:31HQ4X3T3TTJ0S1TMT421G8YP1GLSZ,5.0,0.666666666667
30,A27LGC4MU1R7PQ:388U7OUMF8KU2HCUIBIEDMBE01L0RG,3.0,1.0
31,A27LGC4MU1R7PQ:388U7OUMF8KU2HCUIBIEDMBE01L0RG,4.0,1.0
32,A27LGC4MU1R7PQ:388U7OUMF8KU2HCUIBIEDMBE01L0RG,5.0,1.0
33,A282NBH4RIC3GB:3U4J9857OFUL4LVP7DHXSMGXQTOB7E,3.0,1.0
